words	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
aerodinamik	0	0	0	0	0	0	0	0	0	0
af	0	0	0	0	1	0	1	0	0	0
afacan	0	0	0	0	0	1	0	0	0	0
afet	0	0	0	0	0	0	0	1	0	0
affedildi	0	0	0	0	0	0	1	0	0	0
affedilmez	1	0	1	0	0	1	0	1	0	0
affetmek	0	0	0	0	0	0	1	0	0	0
affetmez	1	0	0	0	0	1	0	1	0	0
afiş	0	0	0	0	0	0	0	0	0	0
aforoz	1	0	1	1	0	1	0	1	0	0
afsunlamak	0	1	0	0	0	0	0	0	1	0
afyon	1	0	1	1	0	1	0	1	0	0
ağ	0	0	0	0	0	0	0	0	0	0
ağaç	1	1	1	0	1	0	1	0	1	1
ağaç altında büyüyen çalılar	0	0	0	0	0	0	0	0	0	0
ağaçlık	0	0	0	0	0	0	0	0	0	0
ağarmış	0	0	0	0	0	1	0	1	0	0
ağıl	0	0	0	0	0	0	0	0	0	0
ağır	1	0	0	1	0	1	0	1	0	0
ağır şekilde	0	0	0	0	0	1	0	0	0	0
ağır silahlar	0	0	0	1	0	1	0	0	0	0
ağırbaşlı	0	0	0	0	0	0	1	0	0	0
ağırladı	0	0	0	0	1	0	1	0	0	0
ağırlaştırıcı	1	0	0	0	0	1	0	1	0	0
ağırlaştırılmış	1	0	0	0	0	1	0	0	0	0
ağırlık	0	0	0	0	0	0	0	0	0	0
ağırlıklar	0	0	0	0	0	0	0	0	0	0
ağırlıksız	0	0	0	0	0	0	0	0	0	0
ağıt	0	0	1	1	0	1	0	1	0	0
ağız	0	0	0	0	0	0	0	0	0	0
ağız dolusu	0	0	1	0	0	0	0	0	0	0
ağızda kalan tat	0	0	0	0	0	1	0	0	0	0
ağızlık	0	0	0	0	0	0	0	0	0	0
Ağla	0	0	0	0	0	1	0	1	0	0
ağlamak	0	0	0	0	0	1	0	1	0	0
ağlamaklı	0	0	0	0	0	0	0	1	0	0
ağlayan	0	0	0	0	0	1	0	1	0	0
agnostik	0	0	0	0	0	0	0	0	0	0
agresif	1	0	0	1	0	1	0	0	0	0
ağrı	0	0	0	0	0	1	0	1	0	0
ağrısız	0	0	0	0	0	0	0	0	0	0
ağrıyan	0	0	0	0	0	1	0	1	0	0
Ağustos	0	0	0	0	0	0	1	0	0	0
ağza alınmaz	0	0	0	1	0	1	0	0	0	0
ağzında yuvarlamak	1	0	1	0	0	1	0	1	0	0
ahbap	0	0	0	0	0	0	0	0	0	0
ahenk	0	0	0	0	0	0	1	0	0	1
ahenkli	0	0	0	0	0	0	0	0	0	0
ahit	0	1	0	0	0	0	0	0	0	1
ahır	0	0	0	0	0	0	0	0	0	0
ahkâm kesmek	0	0	0	0	0	0	0	0	0	0
ahlâk	0	0	0	0	0	0	1	0	0	0
ahlâki	0	0	0	0	0	0	1	0	0	0
ahlaksız	1	1	1	1	0	1	0	1	0	0
ahlaksızlık	1	0	1	0	0	1	0	0	0	0
ahmak	0	0	0	0	0	0	0	0	1	0
ahmak ıslatan	0	0	0	0	0	0	0	0	0	0
ahmaklık	0	0	0	0	0	0	0	0	0	0
ahşap	0	0	0	0	0	0	0	0	0	0
ahtapot	0	0	1	0	0	0	0	0	0	0
aidat	0	0	0	0	0	0	0	0	0	0
aile ocağı	0	0	0	0	0	0	1	0	0	0
aile reisi	0	0	0	0	0	0	0	0	0	0
ajan	0	0	0	0	0	0	0	0	0	0
Ajans	0	0	0	0	0	0	0	0	0	0
akademi	0	0	0	0	0	0	1	0	0	0
akademik	0	0	0	0	0	0	1	0	0	1
akademisyen	0	0	0	0	0	0	1	0	0	0
akbaba	0	0	1	1	0	1	0	0	0	0
akciğer	0	0	0	0	0	0	0	0	0	0
Akdeniz	0	0	0	0	0	0	1	0	0	0
akik	0	0	0	0	0	0	0	0	0	0
akı	0	0	0	0	0	0	0	0	0	0
akıbet	0	0	0	0	0	0	0	0	0	0
akıcılık	0	0	0	0	0	0	0	0	0	0
akıl	0	0	0	0	0	0	1	0	0	0
akıl hocası	0	0	0	0	0	0	1	0	0	1
akıl sağlığı	0	0	0	0	0	0	0	0	0	0
akılcı	0	0	0	0	0	0	1	0	0	1
akılcılık	0	0	0	0	0	0	0	0	0	0
akıllı	0	0	0	0	0	0	1	0	0	1
akıllıca	0	0	0	0	0	0	1	0	0	1
akıllılık	0	0	0	0	0	0	1	0	0	0
akılsız	0	0	0	0	0	1	0	0	0	0
akım	0	0	0	0	0	0	1	0	0	0
akım düzenleme	0	0	0	0	0	0	1	0	0	0
akın	0	0	0	1	0	1	0	0	0	0
akış	0	0	0	0	0	0	1	0	0	0
akışkan	0	0	0	0	0	0	0	0	0	0
akışkanlık	0	0	0	0	0	0	0	0	0	0
akıtmak	0	0	0	0	0	0	0	0	0	0
akkor	0	0	0	0	0	0	0	0	0	0
aklı başında	0	0	0	0	0	0	0	0	0	0
akor	0	0	0	0	0	0	0	0	0	0
akordeon	0	0	0	0	0	0	0	0	0	0
akort	0	0	0	0	0	0	0	0	0	0
akort edilebilir	0	0	0	0	0	0	0	0	0	0
akraba	0	1	0	0	1	0	1	0	0	1
akrabasını tutma	1	0	1	0	0	1	0	1	0	0
akran	0	0	0	0	0	0	0	0	0	0
akrep	1	0	1	1	0	1	0	0	1	0
akrobat	0	0	0	1	1	0	1	0	0	1
aks	0	0	0	0	0	0	0	0	0	0
aksak	0	0	0	1	0	1	0	1	0	0
akşam	0	0	0	0	0	0	0	0	0	0
akşam karanlığı	0	0	0	0	0	0	0	0	0	0
akşam vakti	0	0	0	0	0	0	0	0	0	0
akşam yemegi	0	0	0	0	0	0	1	0	0	0
akşam yemeği	0	0	0	0	0	0	0	0	0	0
Aksan	0	0	0	0	0	0	0	0	0	0
aksatmak	1	0	0	0	0	1	0	1	0	0
aksesuar	0	0	0	0	0	0	0	0	0	0
aksi	0	0	0	0	0	1	0	0	0	0
aksilik	0	0	1	1	0	1	0	1	1	0
aksine	0	0	0	0	0	0	0	0	0	0
aksiyom	0	0	0	0	0	0	0	0	0	1
aksiyon	0	0	0	0	0	0	1	0	0	0
Aktar	0	0	0	0	0	0	0	0	0	0
aktarma	0	0	0	0	0	0	0	0	0	0
aktarmak	0	0	0	0	0	0	0	0	0	0
aktif	0	0	0	0	0	0	0	0	0	0
aktivite	0	0	0	0	0	0	0	0	0	0
aktör	0	0	0	0	0	0	0	0	0	0
aktüalite	0	0	0	0	0	0	0	0	0	0
aktüer	0	0	0	0	0	0	0	0	0	0
akuamarin	0	0	0	0	0	0	0	0	0	0
akupunktur	0	0	0	0	0	0	0	0	0	0
akustik	0	0	0	0	0	0	0	0	0	0
akut	0	0	0	0	0	0	0	0	0	0
akvaryum	0	0	0	0	0	0	0	0	0	0
alabalık	0	0	0	0	0	0	0	0	0	0
alaca	0	0	0	0	0	0	0	0	0	0
alaca karanlık	0	0	0	0	0	0	0	0	0	0
alacaklı	0	0	0	0	0	0	0	0	0	0
alacalı	0	0	0	0	0	0	0	0	0	0
alakarga	0	0	0	0	0	0	0	0	0	0
alâmet	0	1	0	1	0	1	0	0	0	0
alâmet olmak	0	0	0	0	0	0	0	0	0	0
alan	0	0	0	0	0	0	0	0	0	0
alarm	0	0	0	1	0	1	0	0	1	0
alaşım	0	0	0	0	0	0	0	0	0	0
alay	1	0	1	0	0	1	0	0	0	0
alaycı	1	0	1	0	0	1	0	1	0	0
albay	0	0	0	0	0	0	1	0	0	1
albüm	0	0	0	0	0	0	0	0	0	0
alçak	1	0	1	1	0	1	0	0	0	0
Alçakça	0	0	0	0	0	1	0	0	0	0
alçakgönüllülükle	0	0	0	0	0	0	1	0	0	0
alçı	0	0	0	0	0	0	0	0	0	0
aldatan	0	0	0	0	0	1	0	0	0	1
aldatıcı	0	0	0	0	0	1	0	0	0	0
aldatılmış	1	0	0	0	0	1	0	0	0	0
aldatma	1	0	1	1	0	1	0	1	1	0
aldatmak	1	0	1	0	0	1	0	1	0	0
aldırmamak	0	0	0	0	0	1	0	0	0	0
alegori	0	0	0	0	0	0	0	0	0	0
alegorik	0	0	0	0	0	0	0	0	0	0
alelacele	0	0	0	0	0	0	0	0	0	0
alem	0	0	0	0	0	1	0	0	0	0
alenen	0	0	0	0	0	0	0	0	0	0
aletleri	0	0	0	0	0	0	0	0	0	0
alev	0	0	0	0	0	0	0	0	0	0
alev alev	0	0	0	0	0	0	0	0	0	0
alevlendirmek	0	1	0	1	1	1	1	0	1	0
alfabe	0	0	0	0	0	0	0	0	0	0
alfabetik	0	0	0	0	0	0	0	0	0	0
alfalfa	0	0	0	0	0	0	0	0	0	0
algı	0	0	0	0	0	0	0	0	0	0
algılamak	0	0	0	0	0	0	1	0	0	1
algılanabilir	0	0	0	0	0	0	1	0	0	0
algılanamaz	0	0	0	0	0	0	0	0	0	0
algısal	0	0	0	0	0	0	0	0	0	0
algoritma	0	0	0	0	0	0	0	0	0	0
alim	0	0	0	0	0	0	0	0	0	0
alıcı	0	0	0	0	0	0	0	0	0	0
alıcı yönetmeni	0	0	0	0	0	0	0	0	0	0
alıkoyma	0	0	0	0	0	0	1	0	0	0
alıkoymak	0	0	0	0	0	1	0	0	0	0
alın	0	0	0	0	0	0	0	0	0	0
Alınan	0	0	0	0	0	0	1	0	0	0
alındı	0	0	0	0	0	0	1	0	0	0
alıngan	0	0	1	1	0	1	0	0	0	0
alıntı	0	0	0	0	0	0	0	0	0	0
alış	0	0	0	0	0	0	0	0	0	0
alışık	0	0	0	0	0	0	0	0	0	0
alışılagelmiş	0	0	0	0	0	0	0	0	0	0
alışılmadık	0	0	0	0	0	0	0	0	0	0
alışılmış	0	1	0	0	0	0	0	0	0	0
alışılmış hareket	0	0	0	0	0	0	0	0	0	0
alışkanlık	0	0	0	0	0	0	0	0	0	0
alışveriş Merkezi	0	0	0	0	0	0	0	0	0	0
alışveriş yapmak	0	1	0	0	1	0	1	0	1	1
alkali	0	0	0	0	0	0	0	0	0	0
alkaloidler	0	0	0	0	0	0	0	0	0	0
alkış	0	0	0	0	1	0	1	0	1	1
alkış yağmuru	0	0	0	0	0	1	0	1	0	0
alkol	0	0	0	0	0	0	0	0	0	0
alkolizm	1	0	1	1	0	1	0	1	0	0
alkollü içkiler	0	1	0	0	1	0	1	0	1	0
Allah	0	1	0	1	1	0	1	0	0	1
allegro	0	0	0	0	0	0	1	0	0	0
almak	0	0	0	0	0	0	1	0	0	0
almanak	0	0	0	0	0	0	0	0	0	0
Almanca	0	0	0	0	0	0	0	0	0	0
aloha	0	1	0	0	1	0	1	0	0	0
alt	0	0	0	0	0	1	0	1	0	0
alt komite	0	0	0	0	0	0	0	0	0	0
alt küme	0	0	0	0	0	0	0	0	0	0
alt türü	0	0	0	0	0	0	0	0	0	0
altar	0	0	0	0	0	0	0	0	0	0
altbölüm	0	0	0	0	0	0	0	0	0	0
altdizi	0	0	0	0	0	0	0	0	0	0
alternatif	0	0	0	0	0	0	0	0	0	0
altıgen	0	0	0	0	0	0	0	0	0	0
altın	0	0	0	0	0	0	1	0	0	0
altın çağ	0	1	0	0	1	0	1	0	0	1
altıncı	0	0	0	0	0	0	0	0	0	0
altında	0	0	0	0	0	0	0	0	0	0
altında yatan	0	0	0	0	0	0	0	0	0	0
altını çizmek	0	0	0	0	0	0	1	0	0	0
altmış	0	0	0	0	0	0	0	0	0	0
alto	0	0	0	0	0	0	0	0	0	0
altüst ederek aramak	0	0	0	0	0	0	0	0	0	0
altyapı	0	0	0	0	0	0	0	0	0	0
altyazı	0	0	0	0	0	0	0	0	0	0
alüvyon	0	0	0	0	0	0	0	0	0	0
alüvyonlu	0	0	0	0	0	0	0	0	0	0
alveolar	0	0	0	0	0	0	0	0	0	0
amaç	0	0	0	0	0	0	0	0	0	0
amaçsız	0	0	0	0	0	1	0	0	0	0
amansız	0	0	0	0	0	1	0	0	0	0
amatör	0	0	0	0	0	0	0	0	0	0
ambar	0	0	0	0	0	0	0	0	0	0
amblem	0	0	0	0	0	0	0	0	0	0
ambulans	0	0	0	1	0	0	0	0	0	1
amca dayı	0	0	0	0	0	0	0	0	0	0
ametist	0	0	0	0	0	0	0	0	0	0
amfetaminler	0	0	1	0	0	1	0	0	0	0
amfibi	0	0	0	0	0	0	0	0	0	0
amfitiyatro	0	0	0	0	0	0	0	0	0	0
amin	0	0	0	0	1	0	1	0	0	1
amiral	0	0	0	0	0	0	1	0	0	1
amiral gemisi	0	0	0	0	0	0	0	0	0	1
amiraller	0	0	0	0	0	0	0	0	0	0
amnezi	0	0	0	0	0	1	0	0	0	0
amonyak	0	0	1	0	0	0	0	0	0	0
amorf	0	0	0	0	0	0	0	0	0	0
amortisman	0	0	0	0	0	0	0	0	0	1
amortismana	1	0	1	1	0	1	0	1	0	0
amortisör	0	0	0	0	0	1	0	0	0	0
amplifikasyon	0	0	0	0	0	0	0	0	0	0
ampul	0	0	0	0	0	0	0	0	0	0
an	0	0	0	0	0	0	0	0	0	0
ana	0	0	0	0	0	0	1	0	0	0
ana hatlar	0	0	0	0	0	0	0	0	0	0
anahtar	0	0	0	0	0	0	0	0	0	0
anahtar deliği	0	0	0	0	0	0	0	0	0	0
anahtar teslimi	0	0	0	0	0	0	0	0	0	0
anakara	0	0	0	0	0	0	0	0	0	0
anakonda	0	0	1	1	0	1	0	0	0	0
anal	0	0	0	0	0	1	0	0	0	0
analist	0	1	0	0	0	0	1	0	0	1
analitik	0	0	0	0	0	0	0	0	0	0
analiz	0	0	0	0	0	0	0	0	0	0
analizör	0	0	0	0	0	0	0	0	0	0
analık	0	0	0	0	0	0	0	0	0	0
analjezik	0	0	0	0	0	0	0	0	0	0
analog	0	0	0	0	0	0	0	0	0	0
analoji	0	0	0	0	0	0	0	0	0	0
Ananas	0	0	0	0	0	0	0	0	0	0
anarşi	1	0	0	1	0	1	0	0	0	0
anarşist	1	0	0	1	0	1	0	0	0	0
anarşizm	1	0	0	1	0	1	0	0	0	0
anastomoz	0	0	0	0	0	0	0	0	0	0
anatomi	0	0	0	0	0	0	0	0	0	0
anatomik	0	0	0	0	0	0	0	0	0	0
anayasa	0	0	0	0	0	0	0	0	0	0
anayasal	0	0	0	0	0	0	1	0	0	1
anayasaya	0	0	0	0	0	0	0	0	0	0
anayasaya aykırı	0	0	0	0	0	1	0	0	0	0
androjen	0	0	0	0	0	0	0	0	0	0
anemon	0	0	0	0	0	0	0	0	0	0
anestetik	0	0	0	0	0	0	0	0	0	0
anestezi	0	0	0	0	0	0	0	0	0	0
angarya	0	0	0	0	0	1	0	0	0	0
ani	0	0	0	0	0	0	0	0	1	0
aniden	0	0	0	0	0	0	0	0	0	0
animasyon	0	0	0	0	0	0	0	0	0	0
anı yazısı	0	0	0	0	0	0	0	0	0	0
anımsama	0	0	0	0	0	0	0	0	0	0
anıt	0	0	0	0	0	0	0	0	0	0
anıtlar	0	0	0	0	0	0	0	1	0	0
anıtsal	0	0	0	0	0	0	0	0	0	0
anız	0	0	0	0	0	0	0	0	0	0
anjin	0	0	0	1	0	1	0	0	0	0
anjiyografi	0	0	0	0	0	0	0	0	0	0
Anka kuşu	0	0	0	0	0	0	1	0	0	0
anket	0	0	0	0	0	0	0	0	0	1
anladım	0	0	0	0	0	0	0	0	0	0
anlam	0	0	0	0	0	0	0	0	0	0
anlama	0	0	0	0	0	0	0	0	0	0
anlamak	0	0	0	0	0	0	0	0	0	0
anlamına geliyor	0	0	0	0	0	0	0	0	0	0
anlamına gelmek	0	0	0	0	0	0	0	0	0	0
anlamlı	0	0	0	0	0	0	1	0	0	0
anlamsız	0	0	0	0	0	1	0	0	0	0
anlamsızlık	0	0	0	0	0	1	0	0	0	0
anlaşılabilirlik	0	0	0	0	0	0	0	0	0	0
anlaşılan	0	0	0	0	0	0	0	0	0	0
anlaşılır	0	0	0	0	0	0	0	0	0	0
anlaşılmaz	0	0	0	0	0	0	0	0	0	1
anlaşma	0	0	0	0	0	0	1	0	0	1
anlaşmak	0	0	0	0	0	0	1	0	0	0
anlaşmazlık	1	0	0	0	0	1	0	1	0	0
anlaştık mı	0	1	0	0	1	0	1	0	1	1
anlatılmamış	0	1	0	0	0	1	0	0	0	0
anlatım biçimi	0	0	0	0	0	0	0	0	0	0
anlatmak	0	0	0	0	0	0	0	0	0	0
anlayış	0	0	0	0	0	0	1	0	0	0
anlayışlı	0	0	0	0	0	0	0	0	0	0
anlayışsız	1	0	0	0	0	1	0	0	0	0
anlık	0	0	0	0	0	0	0	0	0	0
anma	0	1	0	0	1	0	1	0	0	0
anmak	0	1	0	0	1	0	1	1	0	0
anne	0	1	0	0	0	1	1	0	0	0
annelik	0	0	0	0	1	0	1	0	0	1
anomali	0	0	0	1	0	1	0	0	1	0
anonim	0	0	0	0	0	1	0	0	0	0
anormal	0	0	0	0	0	1	0	0	0	0
ansiklopedi	0	0	0	0	0	0	1	0	0	1
anten	0	0	0	0	0	0	0	0	0	0
antibiyotik	0	0	0	0	0	0	0	0	0	0
antibiyotikler	0	0	0	0	0	0	1	0	0	0
antifungal	0	0	0	0	0	0	1	0	0	1
Antik	0	0	0	0	0	0	1	0	0	0
antika	0	0	0	0	0	0	0	0	0	0
antilop	0	0	0	0	0	0	0	0	0	0
antimon	0	0	0	0	0	0	0	0	0	0
antipati	1	0	1	0	0	1	0	0	0	0
antipatik	0	0	1	0	0	1	0	0	0	0
antiseptik	0	0	0	0	0	0	1	0	0	1
antisosyal	1	0	1	1	0	1	0	1	0	0
antitez	1	0	0	0	0	1	0	0	0	0
antiviral	0	0	0	0	0	0	0	0	0	0
antlaşma	0	0	0	0	0	0	1	0	0	1
antoloji	0	0	0	0	0	0	0	0	0	0
antre	0	0	0	0	0	0	0	0	0	0
antropoloji	0	0	0	0	0	0	0	0	0	0
aort	0	0	0	0	0	0	0	0	0	0
apache	0	0	0	1	0	1	0	0	0	0
apaçık	0	0	0	0	0	0	0	0	0	0
apandis	0	0	0	0	0	0	0	0	0	0
apandisit	0	0	0	1	0	1	0	1	0	0
apartman	0	0	0	0	0	0	0	0	0	0
apışıp kalmak	0	0	0	0	0	0	0	0	0	0
apolojist	0	0	0	0	0	0	0	0	0	0
apostrof	0	0	0	0	0	0	0	0	0	0
apron	0	0	0	0	0	0	0	0	0	0
apse	0	0	0	0	0	1	0	1	0	0
aptal	0	0	1	0	0	1	0	0	0	0
aptalca	0	0	0	0	0	1	0	0	0	0
aptallık	0	0	0	0	0	1	0	0	0	0
ara	0	0	0	0	0	0	1	0	0	0
ara-	0	0	0	0	0	0	0	0	0	0
araba	0	0	0	0	0	0	0	0	0	0
araba yolu	0	0	0	0	0	0	0	0	0	0
arabacı	0	0	0	0	0	0	0	0	0	0
arabulucu	0	1	0	0	0	0	1	0	0	1
arabuluculuk	0	0	0	0	0	0	1	0	0	0
araç	0	0	0	0	0	0	0	0	0	0
araç gereçler	0	0	0	0	0	0	0	0	0	0
aracı	0	0	0	0	0	0	0	0	0	0
aracılık	0	0	0	0	0	0	0	0	0	1
aracılık etmek	0	0	0	1	0	0	0	1	0	0
arada	0	0	0	0	0	0	1	0	0	1
Aradan	0	0	0	0	0	0	0	0	0	0
araf	0	0	1	1	0	1	0	0	0	0
Aralık	0	0	0	0	0	0	0	0	0	0
aralıklı	0	0	0	0	0	0	0	0	0	0
aralıksız	0	0	0	0	0	1	0	0	0	0
arama	0	0	0	0	0	0	0	0	0	0
aramak	0	0	0	0	0	0	0	0	0	0
aramalar	0	1	0	0	0	1	0	0	0	1
aranjman	0	0	0	0	0	0	0	0	0	0
arapsaçı	0	0	0	0	0	0	0	0	0	0
arası	0	0	0	0	0	1	0	1	0	0
arasına sokmak	0	0	0	0	0	0	0	0	0	0
araştırma	0	1	0	0	0	0	1	0	0	0
araştırmacı	0	0	0	0	0	0	0	0	0	0
arayıcı	0	0	0	0	0	0	0	0	0	0
arazi	0	0	0	0	0	0	0	0	0	0
ardışık	0	0	0	0	0	0	0	0	0	0
arduvaz	0	0	0	0	0	0	1	0	0	0
arena	0	0	0	0	0	0	0	0	0	0
areola	0	0	0	0	0	0	0	0	0	0
argo	0	0	0	0	0	0	0	0	0	0
argümanlar	1	0	0	0	0	0	0	0	0	0
aristokrasi	0	0	0	0	0	0	1	0	0	0
aristokrat	0	0	0	0	0	0	0	0	0	0
aritmetik	0	0	0	0	0	0	0	0	0	0
arı kovanı	0	0	0	0	0	0	0	0	0	0
arındırmak	0	0	0	0	1	0	1	0	0	1
arıtma	0	0	0	0	0	0	1	0	0	1
arıtmak	0	0	0	0	0	0	1	0	0	0
Arıza tespit	0	0	0	0	0	0	0	0	0	0
arızalı	0	0	1	0	0	1	0	0	0	0
arka	0	0	0	0	0	0	0	0	0	0
arka fon	0	0	0	0	0	0	0	0	0	0
arkadaş	0	1	0	0	1	0	1	0	0	1
arkadaş canlısı	0	1	0	0	1	0	1	0	0	1
arkadaş olmak	0	0	0	0	1	0	1	0	0	1
arkadaşlık	0	0	0	0	0	0	0	0	0	0
arkaik	0	0	0	0	0	1	0	0	0	0
arkasına yaslanmış	0	0	0	0	0	0	0	0	0	0
arkeolog	0	0	0	0	0	0	0	0	0	0
arkeoloji	0	1	0	0	0	0	1	0	0	0
arkeolojik	0	0	0	0	0	0	0	0	0	0
Arktik	0	0	0	0	0	0	0	0	0	0
arma	0	0	0	0	0	0	0	0	0	0
armağan	0	0	0	0	0	0	0	0	0	0
armatür	0	0	0	0	0	0	0	0	0	0
armoni	0	0	0	0	1	0	1	0	0	1
armonika	0	0	0	0	0	0	0	0	0	0
Arnavut kaldırımı	0	0	0	0	0	0	0	0	0	0
aroma	0	0	0	0	0	0	1	0	0	0
arpacık	0	0	1	0	0	1	0	0	0	0
arsa	0	0	0	0	0	0	0	0	0	0
arsenik	0	0	1	1	0	1	0	1	0	0
Arşiv	0	0	0	0	0	0	0	0	0	0
arşın	0	0	0	0	0	0	0	0	0	0
arsız	0	0	0	0	0	0	0	0	0	0
arter	0	0	0	0	0	0	0	0	0	0
artistik	0	0	0	0	0	0	1	0	0	0
artım	0	0	0	0	0	0	0	0	0	0
artırmak	0	0	0	0	0	0	0	0	0	0
artmış	0	0	0	0	0	0	0	0	0	0
arz	0	0	0	0	0	0	1	0	0	0
arzulamak	0	0	0	0	0	0	1	0	0	0
arzulu	0	0	0	0	0	0	1	0	0	0
as	0	0	0	0	0	0	1	0	0	0
asa	0	0	0	0	0	0	0	0	0	0
asabi	1	0	0	0	0	1	0	0	0	0
aşağı	0	0	0	0	0	1	0	1	0	0
aşağılama	1	0	1	1	0	1	0	0	0	0
aşağılamak	1	0	0	0	0	1	0	1	0	0
aşağılayıcı	1	0	0	0	0	1	0	0	0	0
aşağılık	1	0	1	0	0	1	0	0	0	0
asal	0	0	0	0	0	0	1	0	0	0
aşama	0	0	0	0	0	0	0	0	0	0
aşan	0	0	0	0	0	0	0	0	0	0
asansör	0	0	0	0	0	0	0	0	0	0
aşar vergisi	0	0	0	0	0	0	0	0	0	0
aşarak	0	0	0	0	0	0	1	0	0	0
aşçılık	0	0	0	0	0	0	0	0	0	0
asetik	0	0	0	0	0	0	0	0	0	0
